arcd,acmdfclty_sn,ctprvn_nm,sgg_nm,vt_acmdfclty_nm,rdnmadr_cd,bdong_cd,hdong_cd,dtl_adres,fclty_ar,xcord,ycord
4146000000,21,경기도,용인시,용인중학교 운동장,4.14611E+24,4146110100,4146151000,경기도 용인시 처인구 김량장동 203-3,5026,127.2013602,37.23857219
4146000000,26,경기도,용인시,고림초등학교 운동장,4.14611E+24,4146110600,4146153000,경기도 용인시 처인구 고림동 340-2,3975,127.2273298,37.24722344
4146000000,27,경기도,용인시,덕영고등학교 운동장,4.14611E+24,4146110600,4146153000,경기도 용인시 처인구 고림동 737-1,7732,127.2162052,37.24099116
4146000000,28,경기도,용인시,용인성산초등학교 운동장,4.14611E+24,4146110500,4146153000,경기도 용인시 처인구 유방동 317-1,2960,127.2163427,37.25847104
4146000000,120,경기도,용인시,유방어린이공원,,4146110500,4146153000,경기도 용인시 처인구 유방동 287-4,2465,127.216816,37.25931504
4146000000,139,경기도,용인시,물방울어린이공원,,4146110300,4146152000,경기도 용인시 처인구 삼가동 187-11,1676,127.1671672,37.24079738
4146000000,122,경기도,용인시,역북문화공원,4.14611E+24,4146110200,4146152500,경기도 용인시 처인구 역북동 807-0,21590,127.1857,37.2293
4146000000,151,경기도,용인시,미르어린이공원,,4146110200,4146152000,경기도 용인시 처인구 역북동 419,1650,127.1878,37.2373
4146000000,121,경기도,용인시,역동근린공원,,4146110200,4146152000,경기도 용인시 처인구 역북동 810,14405,127.1828,37.2325
4146000000,24,경기도,용인시,삼가초등학교 운동장,4.14611E+24,4146110300,4146152000,경기도 용인시 처인구 삼가동 555,3588,127.1707045,37.2366212
4146000000,138,경기도,용인시,삼가체육공원,,4146110300,4146152000,경기도 용인시 처인구 삼가동 268-18,17747,127.1693418,37.23686473
4146000000,152,경기도,용인시,숲속어린이공원,,4146110300,4146152000,경기도 용인시 처인구 삼가동 289-16,3415,127.1636871,37.23868627
4146000000,22,경기도,용인시,용인초등학교 운동장,4.14611E+24,4146110100,4146151000,경기도 용인시 처인구 김량장동 228-1,4011,127.2051915,37.23808022
4146000000,146,경기도,용인시,별학어린이공원,,4146110100,4146151000,경기도 용인시 처인구 김량장동 351-0,1653,127.2009871,37.23196745
4146000000,148,경기도,용인시,수여어린이공원,,4146110100,4146151000,경기도 용인시 처인구 김량장동 320-0,1654,127.1988016,37.23608407
4146000000,145,경기도,용인시,능말근린공원,,4146110100,4146151000,경기도 용인시 처인구 김량장동 448-11,11676,127.1998254,37.23808219
4146000000,147,경기도,용인시,처인어린이공원,,4146110100,4146151000,경기도 용인시 처인구 김량장동 340-0,1653,127.2027662,37.23404923
4146000000,144,경기도,용인시,용인중앙공원,,4146110100,4146151000,경기도 용인시 처인구 김량장동 산37-16,325543,127.2068879,37.23178392
4146000000,149,경기도,용인시,반디어린이공원,4.14611E+24,4146110100,4146151000,경기도 용인시 처인구 김량장동 291-1,1820,127.1952534,37.2357489
4146000000,25,경기도,용인시,용인고등학교 운동장,4.14611E+24,4146110200,4146152000,경기도 용인시 처인구 역북동 444-1,2400,127.1930599,37.24035524
4146000000,23,경기도,용인시,서룡초등학교 운동장,4.14611E+24,4146110200,4146152000,경기도 용인시 처인구 역북동 416,4150,127.1868125,37.23763593
4146000000,136,경기도,용인시,소공원(역북),4.14611E+24,4146110200,4146152500,경기도 용인시 처인구 역북동 413-14,10699,127.1926,37.2376
4146000000,9,경기도,용인시,남곡초등학교 운동장,4.14613E+24,4146132030,4146132000,경기도 용인시 처인구 남사면 아곡리 506,3220,127.1670808,37.14038457
4146000000,14,경기도,용인시,좌항초등학교 운동장,4.14613E+24,4146134023,4146134000,경기도 용인시 처인구 원삼면 좌항리 126-4,3727,127.3204628,37.20170293
4146000000,13,경기도,용인시,원삼초등학교 운동장,4.14613E+24,4146134027,4146134000,경기도 용인시 처인구 원삼면 독성리 295-1,2805,127.3153413,37.16350689
4146000000,93,경기도,용인시,백봉초등학교 운동장,,4146135023,4146135023,경기도 용인시 처인구 백암면 백봉리 192,1104,127.4002696,37.13786594
4146000000,16,경기도,용인시,백암중고등학교 운동장,4.14614E+24,4146135030,4146135000,경기도 용인시 처인구 백암면 근창리 166,9118,127.3688863,37.16524
4146000000,15,경기도,용인시,백암초등학교 운동장,4.14614E+24,4146135030,4146135000,경기도 용인시 처인구 백암면 근창리 105,4300,127.3678017,37.164149
4146000000,17,경기도,용인시,양지초등학교 운동장,4.14614E+24,4146136021,4146136000,경기도 용인시 처인구 양지면 양지리 350,2579,127.2845638,37.2368978
4146000000,137,경기도,용인시,양지근린공원,,4146136021,4146136000,경기도 용인시 처인구 양지면 양지리 산32-6,67739,127.2872141,37.23572461
4146000000,18,경기도,용인시,제일초등학교 운동장,4.14614E+24,4146136024,4146136000,경기도 용인시 처인구 양지면 제일리 488-1,3500,127.3132387,37.24266723
4146000000,19,경기도,용인시,한터초등학교 운동장,4.14614E+24,4146136028,4146136000,경기도 용인시 처인구 양지면 대대리 577,1000,127.2686335,37.26183856
4146000000,32,경기도,용인시,신갈중학교 운동장,4.14631E+24,4146310100,4146351000,경기도 용인시 기흥구 신갈동 113,4898,127.1082813,37.28040916
4146000000,31,경기도,용인시,신갈초등학교 운동장,4.14631E+24,4146310100,4146351000,경기도 용인시 기흥구 신갈동 56,16136,127.1066243,37.27344073
4146000000,103,경기도,용인시,양별자리공원,,4146311100,4146351000,경기도 용인시 기흥구 영덕동 1075,1182,127.0826755,37.27213063
4146000000,105,경기도,용인시,자은근린공원,,4146311100,4146351000,경기도 용인시 기흥구 영덕동 1236,1647,127.084041,37.27560976
4146000000,104,경기도,용인시,페가수스자리공원,,4146311100,4146351000,경기도 용인시 기흥구 영덕동 1105-1,1280,127.0887647,37.27315552
4146000000,150,경기도,용인시,꽃구름어린이공원,,4146110600,4146153000,경기도 용인시 처인구 고림동 389-1,3326,127.2260709,37.2513013
4146000000,29,경기도,용인시,용마초등학교 운동장,4.14611E+24,4146110700,4146154000,경기도 용인시 처인구 마평동 675-4,5696,127.2147493,37.23682594
4146000000,30,경기도,용인시,운학초등학교 운동장,4.14611E+24,4146110800,4146154000,경기도 용인시 처인구 운학동 220-1,7374,127.2462658,37.20311806
4146000000,4,경기도,용인시,둔전초등학교 운동장,4.14613E+24,4146125023,4146125000,경기도 용인시 처인구 포곡읍 둔전리 108-10,2644,127.225273,37.26852487
4146000000,3,경기도,용인시,영문중학교 운동장,4.14613E+24,4146125024,4146125000,경기도 용인시 처인구 포곡읍 영문리 554,1320,127.2084578,37.27174934
4146000000,2,경기도,용인시,포곡초등학교 운동장,4.14613E+24,4146125027,4146125000,경기도 용인시 처인구 포곡읍 전대리 167-1,5696,127.2194664,37.28196241
4146000000,92,경기도,용인시,남사초등학교 운동장,,4146132021,4146132021,경기도 용인시 처인구 남사면 봉무리 662,376,127.148504,37.1136227
4146000000,10,경기도,용인시,남촌초등학교 운동장,4.14613E+24,4146132025,4146132000,경기도 용인시 처인구 남사면 진목리 141-5,4902,127.1376755,37.1014273
4146000000,35,경기도,용인시,흥덕중학교 운동장,4.14631E+24,4146311100,4146351500,경기도 용인시 기흥구 영덕동 959,12585,127.0795473,37.27664362
4146000000,106,경기도,용인시,남산근린공원,,4146311000,4146355000,경기도 용인시 기흥구 서천동 802,3415,127.0729496,37.23520031
4146000000,34,경기도,용인시,흥덕고등학교 운동장,4.14631E+24,4146311100,4146351500,경기도 용인시 기흥구 영덕동 1020,12440,127.0743017,37.27047775
4146000000,42,경기도,용인시,서천고등학교 운동장,4.14631E+24,4146310900,4146355000,경기도 용인시 기흥구 농서동 401,2911,127.0693782,37.23386982
